accountId,date,name,amount,description,paymentChannel,type,Explaination,transactionId,AssignedCategory,ConfidenceScore,AccountNumber,TypeOfTransaction,Payee,Taxes,Type of Transaction,Payee/Vendor,Category,Account Number,Tax,Memo/Notes
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/28/2025,MONTHLY PLAN FEE,-125,MONTHLY PLAN FEE,other,special,"- Explanation: The transaction is categorized as ""60400 Bank Service Charges"" because the name and description of the transaction, ""MONTHLY PLAN FEE"", suggests a regular fee charged by the bank for a service or account, which aligns with bank service charges.

- AccountNumber: 60400

- Category: 60400 Bank Service Charges

- TypeOfTransaction: Expense

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 90",D9y84xx0RMtM5Lk0ompmCrkNz3dw8XfRqkYAd,60400 Bank Service Charges,90,60400,Expense,Nill,Out of Scope,,,,,,
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/28/2025,Phorest Pay-Pho MSP,2933.76,Phorest Pay-Pho  MSP,other,special,"- Explanation: The transaction is categorized as ""Cash Clearing Account"" because the name ""Phorest Pay-Pho MSP"" and description ""Phorest Pay-Pho  MSP"" suggest a payment processing service, and the amount is a credit, indicating a transfer of funds into the account.

- AccountNumber: 10000

- Category: Cash Clearing Account

- TypeOfTransaction: Transfer

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 90",w6JvERRLp4sxbvgmP3R3F4869v7r1JIvMAdw3,Cash Clearing Account,90,10000,Transfer,Nill,Out of Scope,,,,,,
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/28/2025,88 SUPERMARKET _F,-135.4,88 SUPERMARKET    _F,in store,place,"- Explanation: This transaction is categorized as ""Supplies and Materials"" because the name ""88 SUPERMARKET"" suggests a purchase of goods, likely for the salon or business. The amount is negative, indicating an expense.

- AccountNumber: 50100

- Category: Cost of Goods Sold:Salon Supplies:Supplies and Materials

- TypeOfTransaction: Expense

- Payee: 88 SUPERMARKET

- Taxes: Out of Scope

- Confidence Score: 80",xL80ErrDXaSBe1mNjKwKToe6Q19RDbfKjERvv,Cost of Goods Sold:Salon Supplies:Supplies and Materials,80,50100,Expense,88 SUPERMARKET,Out of Scope,,,,,,
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/28/2025,MONTHLY ACCOUNT FEE,-3.95,MONTHLY ACCOUNT FEE,other,special,"- Explanation: The transaction is categorized as ""60400 Bank Service Charges"" because the description ""MONTHLY ACCOUNT FEE"" indicates a fee charged by the bank for maintaining an account, which is a common type of bank service charge.

- AccountNumber: 60400

- Category: 60400 Bank Service Charges

- TypeOfTransaction: Expense

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 95",JQjY411MRdH813adoXnXFY4OVbPE3Lc7Q19p6,60400 Bank Service Charges,95,60400,Expense,Nill,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/28/2025,CITY OF VAN PAYBYPHONE,-0.57,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a parking or other municipal service, and the amount is a small debit.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 80",go1ZjPPBa6iEDgB5JVMVImKD1geY8khKb0XBe,68600 Utilities,80,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/28/2025,NANNYSERVICES.CA,-48,NANNYSERVICES.CA,online,place,"- Explanation: The transaction is categorized as ""30800 Owners Draw"" because the name ""NANNYSERVICES.CA"" suggests a personal expense, and the amount is negative, indicating a withdrawal or payment. The payment channel is ""online"" and the type is ""place"", which further supports the idea that this is a personal expense.

- AccountNumber: 30800

- Category: Owners Draw

- TypeOfTransaction: Expense

- Payee: NANNYSERVICES.CA

- Taxes: Out of Scope

- Confidence Score: 80",oEAPkrrjpyu38vjaePoPHX8zevJZYLUbkvJp3,Owners Draw,80,30800,Expense,NANNYSERVICES.CA,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/28/2025,SHAW CABLESYSTEMS,-91.84,SHAW CABLESYSTEMS,online,place,"- Explanation: The transaction is categorized as ""68600 Utilities"" because the name ""SHAW CABLESYSTEMS"" is a well-known utility company that provides cable and internet services. The amount is negative, indicating a payment made to the company, which further supports the categorization as a utility expense.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: SHAW CABLESYSTEMS

- Taxes: Out of Scope

- Confidence Score: 95",bxdZjwwLMmSLbEJa8qgqSLMK7dVmJPCDdM6Nj,68600 Utilities,95,68600,Expense,SHAW CABLESYSTEMS,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/28/2025,VANCOUVER (KINGSWAY),-18.11,SQ *VANCOUVER (KINGSWAY),in store,special,"- Explanation: The transaction is categorized as ""Supplies and Materials"" because the name ""VANCOUVER (KINGSWAY)"" suggests a retail store, and the amount is a negative expense. The description ""SQ *VANCOUVER (KINGSWAY)"" also implies a payment to a supplier.

- AccountNumber: 50100

- Category: Cost of Goods Sold:Salon Supplies:Supplies and Materials

- TypeOfTransaction: Expense

- Payee: VANCOUVER (KINGSWAY)

- Taxes: Out of Scope

- Confidence Score: 80",5vQ1NnndLMcRNZL9qMJMc5R0myndkXu4dZDym,Cost of Goods Sold:Salon Supplies:Supplies and Materials,80,50100,Expense,VANCOUVER (KINGSWAY),Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/28/2025,CITY OF VAN PAYBYPHONE,-0.57,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a parking or other municipal service, and the amount is a small debit.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 80",Knr84PPgNwiqmyKX1aYaFa9PZznpq1ImvPQY0,68600 Utilities,80,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/28/2025,NANNYSERVICES.CA,-48,NANNYSERVICES.CA,online,place,"- Explanation: The transaction is categorized as ""30800 Owners Draw"" because the name ""NANNYSERVICES.CA"" suggests a personal expense, and the amount is negative, indicating a withdrawal or payment. The payment channel is online, and the type is ""place"", which further supports the idea that this is a personal expense.

- AccountNumber: 30800

- Category: Owners Draw

- TypeOfTransaction: Expense

- Payee: NANNYSERVICES.CA

- Taxes: Out of Scope

- Confidence Score: 90",3kELNnnaweSN1Jjd97x7cbNAwXQmpVtA0NKZM,Owners Draw,90,30800,Expense,NANNYSERVICES.CA,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/28/2025,SHAW CABLESYSTEMS,-91.84,SHAW CABLESYSTEMS,online,place,"- Explanation: The transaction is categorized as ""68600 Utilities"" because the name ""SHAW CABLESYSTEMS"" is a well-known utility company that provides cable and internet services, and the amount is a negative value, indicating a payment or expense.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: SHAW CABLESYSTEMS

- Taxes: Out of Scope

- Confidence Score: 90",yDZjE441pxS5b1AEVQqQCXrzn13o6kUgo5O1k,68600 Utilities,90,68600,Expense,SHAW CABLESYSTEMS,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/28/2025,VANCOUVER (KINGSWAY),-18.11,SQ *VANCOUVER (KINGSWAY),in store,special,"- Explanation: The transaction is categorized as ""Supplies and Materials"" because the name ""VANCOUVER (KINGSWAY)"" suggests a retail store, and the amount is a small expense, which is consistent with the purchase of supplies or materials. The description ""SQ *VANCOUVER (KINGSWAY)"" also indicates a payment to a specific store.

- AccountNumber:50100

- Category: Cost of Goods Sold:Salon Supplies:Supplies and Materials

- TypeOfTransaction: Expense

- Payee: VANCOUVER (KINGSWAY)

- Taxes: Out of Scope

- Confidence Score: 80",BgB4OxxAjRTm1w84AVjVHX89VEBdMkU7jK9qq,Cost of Goods Sold:Salon Supplies:Supplies and Materials,80,50100,Expense,VANCOUVER (KINGSWAY),Out of Scope,,,,,,
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/27/2025,Phorest Pay-Pho MSP,2608.28,Phorest Pay-Pho  MSP,other,special,"- Explanation: The transaction is categorized as ""Cash Clearing Account"" because the name ""Phorest Pay-Pho MSP"" and description ""Phorest Pay-Pho  MSP"" suggest a payment processing service, and the amount is a credit, indicating a transfer of funds into the account.

- AccountNumber: 10000

- Category: Cash Clearing Account

- TypeOfTransaction: Transfer

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 90",nMkmrAA0p3so7rnO3xPJu4jK4q3n8JU7O4BJP,Cash Clearing Account,90,10000,Transfer,Nill,Out of Scope,,,,,,
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/27/2025,SEND E-TFR ***Pzm,-100,SEND E-TFR ***Pzm,other,special,"- Explanation: The transaction is a SEND E-TFR, which typically indicates an electronic funds transfer. The amount is negative, suggesting it's an expense. The description and name also imply a payment or transfer of funds, which could be related to various expense categories. However, without more specific details, it's challenging to pinpoint the exact nature of the expense. Given the information, it seems most likely related to a subcontractor payment or another form of expense, but the exact category could vary based on the business's specific activities and accounting practices.

- AccountNumber: 70000

- Category: Uncategorized Expense

- TypeOfTransaction: Expense

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 60",d86njLL1abs5qoMJPkn1szkqzPmnv1fDzjKNK,Uncategorized Expense,60,70000,Expense,Nill,Out of Scope,,,,,,
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/27/2025,SEND E-TFR FEE,-0.5,SEND E-TFR FEE,other,special,"- Explanation: The transaction is categorized as ""51800 Merchant Account Fees"" because the name ""SEND E-TFR FEE"" suggests a fee related to a merchant account or payment processing, and the amount is a small negative value, which is consistent with a fee.

- AccountNumber: 53100

- Category: 51800 Merchant Account Fees

- TypeOfTransaction: Expense

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 80",w6JvERRLp4sxbvgmP30JiaRxayzkDZFrmoK3R,51800 Merchant Account Fees,80,53100,Expense,Nill,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/27/2025,CITY OF VAN PAYBYPHONE,-0.78,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a parking or other municipal service, and the amount is a small debit.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 80",BgB4OxxAjRTm1w84AVd5SY6yY5pxLjhNyk3LL,68600 Utilities,80,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/27/2025,CITY OF VAN PAYBYPHONE,-2.65,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: The transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a parking or other municipal service, and the amount is a small debit.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 80",qQ0Bgrr4pkH9b14wNz3mhjoQjLdmzaUnwvDkP,68600 Utilities,80,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/27/2025,CITY OF VAN PAYBYPHONE,-5.11,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: The transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for utilities, and the amount is a small debit, which is consistent with a utility payment.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 90",1yOwmnnrJMiL9anzgvrefDwMDENmZbFAM8n4q,68600 Utilities,90,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/27/2025,CITY OF VAN PAYBYPHONE,-5.11,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a parking or other municipal service, and the amount is a small debit.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 80",P68maKKgRPsdL03wzDkxupb0pV4QqxfJv3oKJ,68600 Utilities,80,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/27/2025,NANNYSERVICES.CA,-48,NANNYSERVICES.CA,online,place,"- Explanation: The transaction is categorized as ""30800 Owners Draw"" because the name ""NANNYSERVICES.CA"" suggests a personal expense, and the amount is negative, indicating a withdrawal or payment. The payment channel is online, and the type is place, which further supports the categorization as an owner's draw.

- AccountNumber: 30800

- Category: 30800 Owners Draw

- TypeOfTransaction: Expense

- Payee: NANNYSERVICES.CA

- Taxes: Out of Scope

- Confidence Score: 80",60nP7eewDMcrm5PNdpL4cqoQqvwyK0CYQLwjN,30800 Owners Draw,80,30800,Expense,NANNYSERVICES.CA,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/27/2025,CITY OF VAN PAYBYPHONE,-0.78,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a parking or other municipal service, and the amount is a small expense.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 80",94N38xxDqMSexg98b1z3TvM5vgPZNXfy5KgRg,68600 Utilities,80,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/27/2025,CITY OF VAN PAYBYPHONE,-2.65,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a parking or other municipal service, and the amount is a small debit.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 80",7jpqOxx61zcxapE3OLRkimo7mD6xdwiY7q0RQ,68600 Utilities,80,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/27/2025,CITY OF VAN PAYBYPHONE,-5.11,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a phone bill, made to the City of Vancouver.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 90",YKOZoXXg70t1k5XyPjVosjLbjVyXMoU9A3Jgr,68600 Utilities,90,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/27/2025,CITY OF VAN PAYBYPHONE,-5.11,CITY OF VAN PAYBYPHONE,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, likely a phone bill, made to the City of Vancouver.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 90",z15rEaaPdJsNQbjp7JgoCoMeoDqy14TKp3vqA,68600 Utilities,90,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,2/27/2025,NANNYSERVICES.CA,-48,NANNYSERVICES.CA,online,place,"- Explanation: The transaction is categorized as ""30800 Owners Draw"" because the name ""NANNYSERVICES.CA"" suggests a personal expense, and the amount is negative, indicating a withdrawal or payment. The payment channel is online, and the type is ""place"", which further supports the idea that this is a personal expense.

- AccountNumber: 30800

- Category: Owners Draw

- TypeOfTransaction: Expense

- Payee: NANNYSERVICES.CA

- Taxes: Out of Scope

- Confidence Score: 80",XyVQoXXgavi9KZj3rmQqh45n4eKpNqU6v8dkY,Owners Draw,80,30800,Expense,NANNYSERVICES.CA,Out of Scope,,,,,,
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/26/2025,Phorest Pay-Pho MSP,1660.26,Phorest Pay-Pho  MSP,other,special,"- Explanation: The transaction is categorized as ""Cash Clearing Account"" because the name ""Phorest Pay-Pho MSP"" and description ""Phorest Pay-Pho  MSP"" suggest a payment processing service, and the amount is a positive value, indicating a deposit or transfer into the account.

- AccountNumber: 10000

- Category: Cash Clearing Account

- TypeOfTransaction: Transfer

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 90",EVKn4ddjRMug3DdpqzwaF1r9A7MRjrSJB1yLe,Cash Clearing Account,90,10000,Transfer,Nill,Out of Scope,,,,,,
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/26/2025,E-TRANSFER ***Rcg,1470,E-TRANSFER ***Rcg,other,special,"- Explanation: The transaction is categorized as ""Chair Rental:Hair Chair"" because the amount is a transfer and the name ""E-TRANSFER ***Rcg"" suggests a payment from a chair rental service, which is a common practice in the salon industry. The amount of $1470.0 is also consistent with typical chair rental payments.

- AccountNumber: 40120

- Category: Chair Rental:Hair Chair

- TypeOfTransaction: Income

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 80",MXa8bBBgRLSjdkAqVK38frAmqaK34AI53mjRL,Chair Rental:Hair Chair,80,40120,Income,Nill,Out of Scope,,,,,,
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/26/2025,E-TRANSFER ***YXr,66,E-TRANSFER ***YXr,other,special,"- Explanation: The transaction is an e-transfer with a description that matches the name, indicating it's a direct transfer. The amount is relatively small, and the payment channel is ""other,"" which suggests it's not a standard payment method like a credit card or bank transfer. The type is ""special,"" which could indicate it's a unique or one-time transaction.

- AccountNumber: 40400

- Category: Uncategorized Income

- TypeOfTransaction: Income

- Payee: Nill

- Taxes: Out of Scope

- Confidence Score: 60",OwJ84yyEX1t06vPdKVREH1YvmNOPLYSVKJ65Q,Uncategorized Income,60,40400,Income,Nill,Out of Scope,,,,,,
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/26/2025,TD VISA PREAUTH PYMT,-9670.35,TD VISA PREAUTH PYMT,other,special,"- Explanation: The transaction is a payment made using TD Visa, which is a credit card. The description ""TD VISA PREAUTH PYMT"" suggests that it's a pre-authorized payment. Given the amount is negative, it indicates an expense or payment made.

- AccountNumber: 21500

- Category: TD Visa 1968

- TypeOfTransaction: Expense

- Payee: TD Visa

- Taxes: Out of Scope

- Confidence Score: 90",QLZb7kkgRqSxnjM6DXAQio0xoV7yPQTJ3jOe6,TD Visa 1968,90,21500,Expense,TD Visa,Out of Scope,,,,,,
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,2/26/2025,CITY OF VAN PAYBYPHONE,-0.57,CITY OF VAN PAYBYPHONE PA,in store,place,"- Explanation: This transaction is categorized as ""68600 Utilities"" because the name ""CITY OF VAN PAYBYPHONE"" suggests a payment for a utility service, and the description ""CITY OF VAN PAYBYPHONE PA"" further supports this interpretation. The payment channel ""in store"" and type ""place"" also imply an in-person transaction, which is consistent with paying a utility bill.

- AccountNumber: 68600

- Category: 68600 Utilities

- TypeOfTransaction: Expense

- Payee: CITY OF VAN

- Taxes: Out of Scope

- Confidence Score: 90",BgB4OxxAjRTm1w84AVdYFOreyJLvmrUdYM6N3,68600 Utilities,90,68600,Expense,CITY OF VAN,Out of Scope,,,,,,
